price,num_bath,num_bed,num_parking,property_size,day,month,year,blacktown,mosman,parramatta,Apartment,Block of units,Duplex/semi-detached,House,Townhouse,Unit
800000.0,2.0,3.0,2.0,149.0,23.0,7.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
667000.0,2.0,2.0,1.0,115.0,22.0,7.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
532000.0,1.0,2.0,2.0,136.0,22.0,7.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
825000.0,2.0,3.0,1.0,192.0,21.0,7.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
583000.0,1.0,2.0,2.0,111.0,21.0,7.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
350000.0,1.0,1.0,0.0,54.0,21.0,7.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
530000.0,1.0,2.0,1.0,97.0,17.0,7.0,2026.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
660000.0,2.0,2.0,1.0,115.0,16.0,7.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3425000.0,6.0,12.0,6.0,903.4,15.0,7.0,2026.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
832000.0,2.0,2.0,1.0,103.0,11.0,7.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
720000.0,2.0,2.0,1.0,126.0,10.0,7.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2300000.0,1.0,3.0,1.0,739.0,27.0,6.0,2026.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
672000.0,2.0,2.0,1.0,104.0,26.0,6.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
600000.0,2.0,2.0,1.0,116.0,26.0,6.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
561000.0,1.0,2.0,1.0,91.0,24.0,6.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
515000.0,1.0,1.0,1.0,70.0,23.0,6.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
674000.0,2.0,2.0,1.0,114.0,22.0,6.0,2026.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
415000.0,1.0,2.0,1.0,103.0,10.0,9.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1300000.0,1.0,4.0,1.0,696.77,8.0,9.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
415000.0,1.0,2.0,1.0,63.0,7.0,9.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1070000.0,1.0,4.0,2.0,638.0,3.0,9.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1600000.0,1.0,3.0,1.0,1182.4,1.0,9.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1480000.0,3.0,5.0,4.0,563.0,28.0,8.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1062500.0,1.0,3.0,1.0,575.4,26.0,8.0,2026.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
